,Time,Experience,Role,Industry,Size,Company,Salary,Remote,Locations,Tags,Min_Salary,Max_Salary,Currency,Min_Annual_Eur_Salary,Max_Annual_Eur_Salary,Additional
377,Full-time,Senior,Backend Developer,"Logistics and Supply Chain, Marketplace, Software Development / Engineering",201–500 people,VC Funded,$140k - 180k (US Dollars),None,"NewYork,NY","['ruby-on-rails', 'python', 'postgresql', 'amazon-web-services']",140000.0,180000.0,$,129629.62962962962,166666.66666666666,
380,Full-time,"Junior, Mid-Level, Senior",Embedded Developer,"Automotive, Industrial Automation, Internet of Things",51–200 people,Private,€30k - 45k (Euros),None,"Turin,Italy","['embedded', 'c++', 'c', 'freertos', 'yocto']",30000.0,45000.0,€,30000.0,45000.0,
381,Full-time,None,"Full Stack Developer, Product Manager",None,None,None,None,None,"Bengaluru,India","['reactjs', 'javascript', 'project-management']",0.0,0.0,,,,
383,Full-time,"Senior, Lead","Graphics/Game Developer, Mobile Developer","Augmented Reality, Computer Vision, Entertainment",11–50 people,VC Funded,None,None,"ShibuyaCity,Japan","['oop', 'java', 'c#', 'unity3d', 'augmented-reality']",0.0,0.0,,,,
384,Full-time,Mid-Level,DevOps,"Financial Services, Financial Technology, Mobile Payments",501–1k people,Private,None,None,"Edinburgh,UK","['cloud', 'kubernetes', 'jenkins']",0.0,0.0,,,,
387,Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,None,None,None,€50k - 80k (Euros),None,"Tübingen,Germany","['javascript', 'node.js', 'html', 'cloud', 'bootstrap-4']",50000.0,80000.0,€,50000.0,80000.0,
388,Full-time,None,"Full Stack Developer, Mobile Developer",None,None,None,None,None,"Ahmedabad,India","['android', 'java', 'mobile']",0.0,0.0,,,,
392,Full-time,None,Data Scientist,"Artificial Intelligence, Enterprise Software, Machine Learning",501–1k people,Private,None,None,"NewYork,NY","['algorithm', 'machine-learning', 'python']",0.0,0.0,,,,
395,Full-time,"Mid-Level, Senior, Lead",Full Stack Developer,"Agile Software Development, Insurance, Software Development / Engineering",11–50 people,Private,None,None,"København,Denmark","['node.js', 'typescript', 'serverless', 'amazon-web-services', 'lambda']",0.0,0.0,,,,
396,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['python', 'android']",0.0,0.0,,,,
397,Full-time,None,"Backend Developer, QA/Test Developer",Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA","['automation', 'rest', 'testing']",0.0,0.0,,,,
399,Full-time,None,Mobile Developer,None,None,None,None,None,"ShibuyaCity,Japan","['ios', 'android', 'php']",0.0,0.0,,,,
405,Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['php', 'reactjs', 'angularjs']",0.0,0.0,,,,
409,Full-time,None,Data Scientist,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"SanFrancisco,CA","['machine-learning', 'design']",0.0,0.0,,,,
410,Full-time,None,Frontend Developer,None,None,None,None,None,"Hyderabad,India","['angularjs', 'c#', 'javascript']",0.0,0.0,,,,
411,Full-time,None,Data Scientist,"Computer Vision, Machine Learning",1k–5k people,Public,None,None,"PaloAlto,CA","['r', 'python', 'sql']",0.0,0.0,,,,
416,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['reactjs', 'javascript', 'ios']",0.0,0.0,,,,
418,Full-time,None,Mobile Developer,None,None,None,None,None,"Mumbai,India","['android', 'oop', 'user-interface']",0.0,0.0,,,,
419,Full-time,"Mid-Level, Senior",Designer,"Assessment, Consulting, Recruiting",11–50 people,Private,£30k - 60k (British Pounds),On-siteandlimitedremote,"London,UK",[],30000.0,60000.0,£,34090.90909090909,68181.81818181818,
420,Full-time,Mid-Level,Full Stack Developer,None,None,None,£35k - 50k (British Pounds),On-siteandlimitedremote,"Bath,UK",[],35000.0,50000.0,£,39772.72727272727,56818.181818181816,
421,Full-time,None,Frontend Developer,None,None,None,None,None,"Pune,India","['jquery', 'user-interface', 'javascript']",0.0,0.0,,,,
422,Full-time,Mid-Level,Frontend Developer,"Data Science, Software Development, Software Development / Engineering",1k–5k people,Public,None,None,"Düsseldorf,Germany","['sass', 'css', 'git', 'webpack']",0.0,0.0,,,,
430,Full-time,Senior,"DevOps, Full Stack Developer, QA/Test Developer","Banking, Manufacturing, Retail",51–200 people,None,$100k - 130k (US Dollars),On-siteandlimitedremote,"Plano,TX",[],100000.0,130000.0,$,92592.59259259258,120370.37037037036,
433,Full-time,None,Mobile Developer,None,None,None,None,None,"ToshimaCity,Japan","['objective-c', 'ios', 'swift']",0.0,0.0,,,,
434,Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['javascript', 'css', 'css3']",0.0,0.0,,,,
436,Full-time,Senior,Backend Developer,"Agile Software Development, Consulting, Healthcare",51–200 people,Private,None,None,"Columbia,MD","['.net', 'reactjs', 'azure', 'c#', 'amazon-web-services']",0.0,0.0,,,,
437,Full-time,None,Mobile Developer,None,None,None,None,None,"Hyderabad,India","['ios', 'objective-c', 'c']",0.0,0.0,,,,
438,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['ios', 'objective-c', 'swift']",0.0,0.0,,,,
439,Full-time,"Junior, Mid-Level, Senior",Frontend Developer,"Energy & Utilities, Energy Storage, Green Energy",51–200 people,Private,£35k - 65k (British Pounds),On-siteandlimitedremote,"London,UK",[],35000.0,65000.0,£,39772.72727272727,73863.63636363637,
441,Full-time,"Junior, Mid-Level, Senior","Backend Developer, Full Stack Developer",Consulting,51–200 people,Private,None,None,"Vienna,VA","['clojure', 'functional-programming', 'mysql', 'clojurescript', 'scala']",0.0,0.0,,,,
443,Full-time,"Mid-Level, Senior","DevOps, System Administrator","Cloud-Based Solutions, Managed Hosting, Web Hosting",51–200 people,Private,None,On-siteandlimitedremote,"Gent,Belgium",[],0.0,0.0,,,,
444,Full-time,None,Backend Developer,None,None,None,None,None,"Pune,India","['wordpress', 'php', 'javascript']",0.0,0.0,,,,
445,Full-time,None,Full Stack Developer,None,None,None,None,None,"Ahmedabad,India","['javascript', 'reactjs', 'php']",0.0,0.0,,,,
451,Full-time,"Senior, Lead",Mobile Developer,"Digital Media, Product Development, Software Development / Engineering",11–50 people,Private,None,On-siteandlimitedremote,"Darmstadt,Germany",[],0.0,0.0,,,,
453,Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Aerospace, Defense, Public Safety",11–50 people,Private,$115k - 145k (US Dollars),On-siteandlimitedremote,"MountainView,CA",[],115000.0,145000.0,$,106481.48148148147,134259.25925925924,
455,Full-time,"Junior, Mid-Level, Senior",Full Stack Developer,"Financial Services, Financial Technology, Insurance",1–10 people,Private,None,On-siteandlimitedremote,"Basel,Switzerland",[],0.0,0.0,,,,
456,Full-time,None,QA/Test Developer,None,None,None,None,None,"Hyderabad,India","['javascript', 'automation', 'testing']",0.0,0.0,,,,
458,Full-time,None,Embedded Developer,None,None,None,None,None,"Bengaluru,India","['embedded', 'c', 'c++']",0.0,0.0,,,,
464,Full-time,"Mid-Level, Senior",System Administrator,"Banking, Financial Services, Financial Technology",1k–5k people,Private,None,None,"London,UK","['linux', 'unix', 'sql', 'powershell', 'oracle']",0.0,0.0,,,,
466,Full-time,"Junior, Mid-Level, Senior",Embedded Developer,"Digital Health, Life Sciences, Medical",10k+ people,Private,None,None,"BadHomburgvorderHöhe,Deutschland","['embedded', 'r', 'design']",0.0,0.0,,,,
474,Full-time,Senior,Mobile Developer,"Education Technology, Healthcare, Medical",201–500 people,VC Funded,€60k - 70k (Euros),None,"Berlin,Germany","['ios', 'reactjs', 'xamarin', 'swift', 'react-native']",60000.0,70000.0,€,60000.0,70000.0,
476,Full-time,None,Mobile Developer,None,None,None,None,None,"Indore,India","['php', 'android', 'wordpress']",0.0,0.0,,,,
477,Contract,Mid-Level,Full Stack Developer,"HR Services, IT Recruitment, SaaS",51–200 people,Private,None,Remote,Noofficelocation,"['php', 'javascript', 'laravel', 'node.js', 'reactjs']",0.0,0.0,,,,
478,Full-time,"Mid-Level, Senior",Frontend Developer,Consumer Electronics,201–500 people,None,€50k - 65k (Euros),None,"Berlin,Deutschland","['javascript', 'css', 'html', 'php', 'twig']",50000.0,65000.0,€,50000.0,65000.0,
479,Full-time,Junior,System Administrator,"Bike sharing, Information Technology, Mobile",501–1k people,Private,None,None,"Berlin,Germany","['elasticsearch', 'logstash', 'kibana', 'apache-kafka', 'apache-spark']",0.0,0.0,,,,
480,Full-time,None,DevOps,None,None,None,None,None,"ShibuyaCity,Japan","['java', 'python', 'devops']",0.0,0.0,,,,
481,Full-time,"Junior, Mid-Level, Senior",Data Scientist,"Artificial Intelligence, Cloud Computing, IT Consulting",51–200 people,Private,None,None,"Ghent,Belgium","['python', 'tensorflow', 'google-cloud-platform', 'machine-learning', 'computer-vision']",0.0,0.0,,,,
482,Full-time,Senior,Backend Developer,"eCommerce, Information Technology, Marketplace",201–500 people,Private,None,On-siteandlimitedremote,"Athens,Greece",[],0.0,0.0,,,,
484,Full-time,Mid-Level,DevOps,"Information Technology, IT Consulting, IT Security",1k–5k people,Public,€50k - 75k (Euros),On-siteandlimitedremote,"Hamburg,Deutschland",[],50000.0,75000.0,€,50000.0,75000.0,
486,Full-time,"Junior, Mid-Level, Senior",Backend Developer,"Consulting, Information Technology, IT Consulting",201–500 people,Private,None,None,"Vermillion,SD","['java', 'sql', 'java-ee', 'angularjs', 'hibernate']",0.0,0.0,,,,
489,Full-time,"Junior, Senior",Full Stack Developer,"Car Dealer, Information Services, Information Technology",51–200 people,Private,€35k - 65k (Euros),None,"Düsseldorf,Deutschland","['php', 'laravel', 'symfony']",35000.0,65000.0,€,35000.0,65000.0,
493,Full-time,None,Frontend Developer,None,None,None,None,None,"Bengaluru,India","['angularjs', 'twitter-bootstrap', 'bootstrap']",0.0,0.0,,,,
497,Full-time,"Junior, Mid-Level","Backend Developer, System Administrator","Bike sharing, Information Technology, Mobile",501–1k people,Private,None,None,"Berlin,Germany","['cloud', 'java', 'amazon-web-services', 'terraform', 'kubernetes']",0.0,0.0,,,,
501,Full-time,None,Mobile Developer,None,None,None,None,None,"Noida,India","['reactjs', 'android', 'ios']",0.0,0.0,,,,
502,Full-time,None,QA/Test Developer,None,None,None,None,None,"Noida,India","['php', 'testing', 'automated-tests']",0.0,0.0,,,,
506,Full-time,"Mid-Level, Senior",Data Scientist,"Banking, Financial Services, Financial Technology",10k+ people,Public,None,On-siteandlimitedremote,"Boston,MA",[],0.0,0.0,,,,
509,Full-time,None,Mobile Developer,None,None,None,None,None,"Bengaluru,India","['mobile', 'objective-c', 'clojure']",0.0,0.0,,,,
515,Full-time,None,DevOps,None,None,None,None,None,"ShinagawaCity,Japan","['php', 'ansible', 'symfony2']",0.0,0.0,,,,
516,Full-time,Senior,Mobile Developer,"eCommerce, Fashion, Information Technology",51–200 people,VC Funded,A$120k - 150k (Australian Dollars),None,"Sydney,Australia","['reactjs', 'javascript', 'typescript', 'react-native', 'react-native-ios']",120000.0,150000.0,A$,66666.66666666667,83333.33333333333,
517,Full-time,None,Backend Developer,None,None,None,None,None,"Noida,India","['php', 'mysql', 'api']",0.0,0.0,,,,
518,Full-time,None,Mobile Developer,None,None,None,None,None,"Saitama,Japan","['php', 'java', 'android']",0.0,0.0,,,,
524,Full-time,None,Mobile Developer,None,None,None,None,None,"Kolkata,India","['java', 'android', 'sql']",0.0,0.0,,,,
526,Full-time,"Junior, Mid-Level, Senior","Backend Developer, Full Stack Developer",High Frequency Trading,51–200 people,Private,None,None,Singapore,"['python', 'c++', 'unix', 'linux', 'c']",0.0,0.0,,,,
527,Full-time,None,"Designer, Frontend Developer",None,None,None,None,None,"Hyderabad,India","['reactjs', 'javascript', 'user-experience']",0.0,0.0,,,,
530,Full-time,"Mid-Level, Senior",Mobile Developer,None,None,None,€70k - 80k (Euros),None,"Berlin,Deutschland","['amazon-web-services', 'java', 'ios']",70000.0,80000.0,€,70000.0,80000.0,
533,Full-time,"Senior, Lead, Manager","Backend Developer, Data Scientist, System Administrator",Real Estate,11–50 people,VC Funded,€50 - 80 (Euros),None,"Berlin,Germany","['amazon-web-services', 'api', 'python', 'r', 'node.js', 'sysadmin']",50.0,80.0,€,50.0,80.0,
539,Full-time,Senior,Database Administrator,"Cloud-Based Solutions, Energy & Utilities, Software Development",51–200 people,VC Funded,None,None,"Köln,Deutschland","['etl', 'continuous-integration', 'scrum', 'python', 'sql']",0.0,0.0,,,,
541,Full-time,None,"Database Administrator, Data Scientist","Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA","['oracle', 'r', 'python']",0.0,0.0,,,,
542,Full-time,None,Frontend Developer,None,None,None,None,None,"Lucknow,India","['php', 'wordpress', 'jquery']",0.0,0.0,,,,
543,Full-time,None,Designer,None,None,None,None,None,"Kokubunji,Japan","['user-interface', 'python', 'user-experience']",0.0,0.0,,,,
544,Full-time,None,Mobile Developer,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"TelAviv-Yafo,Israel","['android', 'ios', 'mobile']",0.0,0.0,,,,
546,Full-time,"Mid-Level, Senior","Designer, Frontend Developer","B2C, Financial Services, Mobile Game",51–200 people,VC Funded,None,None,"Amsterdam,Netherlands","['javascript', 'reactjs', 'user-experience', 'typescript']",0.0,0.0,,,,
547,Full-time,"Senior, Lead","Backend Developer, Full Stack Developer","Coupons & Discounts, Digital Health, Healthcare",201–500 people,VC Funded,None,On-siteandlimitedremote,"SantaMonica,CA",[],0.0,0.0,,,,
550,Full-time,Senior,Mobile Developer,"Automotive, Carsharing, Mobile Application",501–1k people,VC Funded,€60k - 65k (Euros),None,"Berlin,Deutschland","['ios', 'swift', 'uikit', 'git', 'xcode']",60000.0,65000.0,€,60000.0,65000.0,
551,Full-time,Senior,Designer,None,None,None,None,None,"London,UK","['user-interface', 'design', 'jira', 'confluence']",0.0,0.0,,,,
557,Full-time,None,Mobile Developer,None,None,None,None,None,"Ahmedabad,India","['reactjs', 'javascript', 'android']",0.0,0.0,,,,
558,Full-time,"Mid-Level, Senior",QA/Test Developer,"Communications, Network Security, Telecommunications",10k+ people,Public,$95k - 115k (US Dollars),None,"Dublin,OH","['sql', 'java', 'testing', 'web-services', 'tibco']",95000.0,115000.0,$,87962.96296296296,106481.48148148147,
559,Full-time,"Mid-Level, Senior",Backend Developer,None,None,None,€55k - 70k (Euros),None,"Munich,Germany","['ruby-on-rails', 'ruby', 'postgresql', 'amazon-web-services', 'git']",55000.0,70000.0,€,55000.0,70000.0,
562,Full-time,None,Mobile Developer,"Agile Software Development, Content Marketing, Web Technology",1k–5k people,Public,None,None,"Newark,NJ",['android'],0.0,0.0,,,,
563,Full-time,None,Product Manager,Consumer Electronics,10k+ people,Public,None,None,"Cupertino,CA",[],0.0,0.0,,,,
564,Full-time,None,Mobile Developer,None,None,None,None,None,"SahibzadaAjitSinghNagar,India","['java', 'android']",0.0,0.0,,,,
567,Full-time,None,Mobile Developer,None,None,None,None,None,"MinatoCity,Japan","['swift', 'ios', 'python']",0.0,0.0,,,,
572,Full-time,None,Mobile Developer,None,None,None,None,None,"Mumbai,India","['angularjs', 'node.js', 'android']",0.0,0.0,,,,
573,Full-time,Senior,Full Stack Developer,Health Care,11–50 people,Private,None,None,"Centurion,SouthAfrica","['c#', 'asp.net', 'asp.net-mvc']",0.0,0.0,,,,
576,Full-time,Senior,Desktop Developer,"Education, Education Technology, Telecommunications",501–1k people,Private,€40k - 70k (Euros),None,"Stuttgart,Germany","['c++', 'qt', 'qml', 'cmake', 'docker']",40000.0,70000.0,€,40000.0,70000.0,
578,Full-time,"Senior, Lead, Manager","DevOps, Product Manager","Cybersecurity, DevOps, Software Consulting",11–50 people,Private,None,None,"SanAntonio,TX","['project-management', 'devops', 'language-agnostic', 'communication', 'automation']",0.0,0.0,,,,
580,Full-time,None,Data Scientist,"Machine Learning, Mobile, Software Development / Engineering",10k+ people,Public,None,None,"MenloPark,CA",[],0.0,0.0,,,,
581,Full-time,None,Full Stack Developer,None,None,None,None,None,"Pune,India","['javascript', 'angularjs', 'css']",0.0,0.0,,,,
582,Full-time,Senior,Database Administrator,"B2B, B2C, Cloud Services",1k–5k people,Public,$125k - 135k (US Dollars),None,"LosAngeles,CA","['java', 'reactjs', 'plsql', 'amazon-web-services', 'oracle']",125000.0,135000.0,$,115740.74074074073,124999.99999999999,
583,Full-time,Senior,Frontend Developer,"Big Data, Data & Analytics, Data Science",501–1k people,Private,None,None,"Sydney,Australia","['user-interface', 'c#', 'css', 'html', 'javascript']",0.0,0.0,,,,
585,Full-time,Senior,Backend Developer,"B2B, Retail, SaaS",201–500 people,Private,€45k - 55k (Euros),None,"Paris,France","['symfony', 'php', 'docker', 'doctrine-orm', 'rest']",45000.0,55000.0,€,45000.0,55000.0,
587,Full-time,None,"Backend Developer, Full Stack Developer",None,None,None,None,None,"Pune,India","['java', 'spring', 'hibernate']",0.0,0.0,,,,
588,Full-time,None,Mobile Developer,None,None,None,None,None,"Toyonaka,Japan","['objective-c', 'swift', 'c++']",0.0,0.0,,,,
589,Full-time,None,System Administrator,"Cloud Services, Customer Experience Management, Enterprise Software",10k+ people,Public,None,None,"Naperville,IL","['cloud', 'sysadmin', 'sql']",0.0,0.0,,,,
590,Internship,Student,Mobile Developer,Information Technology,201–500 people,Private,None,On-siteandlimitedremote,"München,Deutschland",[],0.0,0.0,,,,
593,Full-time,"Mid-Level, Senior",Frontend Developer,"Banking, Financial Technology, Software Development / Engineering",11–50 people,Public,None,None,"St.Petersburg,FL","['c#', 'reactjs', 'asp.net', 'vue.js', 'node.js']",0.0,0.0,,,,
